"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"211",499,31,"Nebraska",55,"Douglas County",6504,4,1375,648,727,956,119,193,264
"212",500,31,"Nebraska",55,"Douglas County",6505,1,1242,474,768,1051,109,301,187
"213",501,31,"Nebraska",55,"Douglas County",6505,2,685,311,374,426,28,92,70
"214",502,31,"Nebraska",55,"Douglas County",6506,1,940,372,568,670,165,124,199
"215",503,31,"Nebraska",55,"Douglas County",6506,2,1540,637,903,856,83,234,173
"216",504,31,"Nebraska",55,"Douglas County",6506,3,1135,492,643,871,131,98,104
"217",505,31,"Nebraska",55,"Douglas County",6602,1,843,273,570,719,36,319,38
"218",506,31,"Nebraska",55,"Douglas County",6602,2,1116,473,643,713,9,132,18
"219",507,31,"Nebraska",55,"Douglas County",6602,3,1028,548,480,779,33,343,202
"220",508,31,"Nebraska",55,"Douglas County",6602,4,1078,540,538,497,18,210,202
"221",509,31,"Nebraska",55,"Douglas County",6602,5,644,247,397,497,42,228,84
"222",510,31,"Nebraska",55,"Douglas County",6602,6,1053,523,530,854,0,370,210
"223",511,31,"Nebraska",55,"Douglas County",6603,1,599,334,265,482,36,144,113
"224",512,31,"Nebraska",55,"Douglas County",6603,2,867,316,551,460,44,54,411
"225",513,31,"Nebraska",55,"Douglas County",6603,3,1367,498,869,730,113,144,258
"226",514,31,"Nebraska",55,"Douglas County",6604,1,752,325,427,552,71,157,50
"227",515,31,"Nebraska",55,"Douglas County",6604,2,764,364,400,528,12,211,96
"228",516,31,"Nebraska",55,"Douglas County",6604,3,927,520,407,625,78,88,70
"229",517,31,"Nebraska",55,"Douglas County",6604,4,694,301,393,487,8,154,27
"230",518,31,"Nebraska",55,"Douglas County",6604,5,835,427,408,611,33,276,82
"231",519,31,"Nebraska",55,"Douglas County",6701,1,1533,773,760,1040,36,447,316
"232",520,31,"Nebraska",55,"Douglas County",6701,2,1024,504,520,719,21,456,20
"233",521,31,"Nebraska",55,"Douglas County",6701,3,1267,629,638,837,11,707,90
"234",522,31,"Nebraska",55,"Douglas County",6703,1,1253,705,548,885,15,390,141
"235",523,31,"Nebraska",55,"Douglas County",6703,2,920,324,596,616,0,316,111
"236",524,31,"Nebraska",55,"Douglas County",6703,3,1003,486,517,560,12,372,52
